iter	MultiClass
0	1.761113474
1	1.732464496
2	1.70519546
3	1.689807271
4	1.67000466
5	1.649952599
6	1.627546662
7	1.609860077
8	1.598800448
9	1.585024315
10	1.573722784
11	1.560350917
12	1.544817124
13	1.53423099
14	1.518497221
15	1.513599132
16	1.497603905
17	1.487556918
18	1.475640227
19	1.466291683
20	1.458064318
21	1.448745538
22	1.444752156
23	1.434814588
24	1.429264215
25	1.42200086
26	1.412876198
27	1.407721629
28	1.401309298
29	1.39651094
30	1.392190165
31	1.388544782
32	1.384862279
33	1.379859251
34	1.372720721
35	1.365940785
36	1.359516953
37	1.352741643
38	1.346747529
39	1.335842641
40	1.332674006
41	1.329533556
42	1.325863413
43	1.321095947
44	1.317575809
45	1.311199897
46	1.307542228
47	1.304833281
48	1.300612395
49	1.29391824
50	1.290829246
51	1.286165763
52	1.280963877
53	1.2769564
54	1.273705486
55	1.269115002
56	1.264481347
57	1.261129812
58	1.255983431
59	1.250799025
60	1.244765535
61	1.240931071
62	1.236099706
63	1.232807436
64	1.231177775
65	1.227723762
66	1.223413169
67	1.217624969
68	1.213796834
69	1.212469055
70	1.209297208
71	1.205312297
72	1.202359586
73	1.194139807
74	1.191859511
75	1.187227838
76	1.183474946
77	1.178383459
78	1.171343501
79	1.163012737
80	1.161377982
81	1.1578263
82	1.15121309
83	1.147765225
84	1.144873403
85	1.14033967
86	1.138313425
87	1.133665582
88	1.128408378
89	1.124262243
90	1.120342366
91	1.11552065
92	1.110660763
93	1.106306705
94	1.100463058
95	1.09654265
96	1.091330063
97	1.087300987
98	1.084427018
99	1.076577734
100	1.073120393
101	1.068468368
102	1.06476245
103	1.060905257
104	1.056414155
105	1.050729419
106	1.046673517
107	1.042859975
108	1.037402104
109	1.03369209
110	1.030796855
111	1.023560447
112	1.019146728
113	1.016720432
114	1.012497211
115	1.009482497
116	1.004370069
117	1.000864058
118	0.9968315372
119	0.9935584196
120	0.9896743821
121	0.9851858576
122	0.9824545641
123	0.978643871
124	0.9742387132
125	0.9709668611
126	0.9671576701
127	0.9595585147
128	0.9570972678
129	0.9526424907
130	0.9489079467
131	0.9462213213
132	0.9435839806
133	0.9394042389
134	0.9368029
135	0.9340215268
136	0.931852721
137	0.9268738636
138	0.9255389616
139	0.9235080366
140	0.9217392505
141	0.9187952522
142	0.9165811779
143	0.914489124
144	0.9130242379
145	0.9096638087
146	0.9064938298
147	0.9039907219
148	0.9016251883
149	0.8999515543
150	0.8973581499
151	0.8949138243
152	0.8922197301
153	0.8887579088
154	0.8852128916
155	0.8804348142
156	0.8767279037
157	0.8749343742
158	0.8728520418
159	0.8698798554
160	0.8668954141
161	0.8649454004
162	0.8633844407
163	0.8623012439
164	0.8606085916
165	0.8588464209
166	0.8557522365
167	0.8536690973
168	0.8509186496
169	0.8487358814
170	0.8469317702
171	0.8457844134
172	0.8450627165
173	0.8439333765
174	0.8420926313
175	0.8401818515
176	0.8380202721
177	0.8366046015
178	0.8356625812
179	0.8341259645
180	0.8329177191
181	0.831037523
182	0.8291985869
183	0.8273944715
184	0.8252625354
185	0.823409202
186	0.821324048
187	0.8194332157
188	0.8183906293
189	0.8173752744
190	0.8157544086
191	0.8134218141
192	0.8123976334
193	0.811501595
194	0.8091804722
195	0.8061612067
196	0.8051331087
197	0.8042865129
198	0.8027764729
199	0.8021655757
200	0.7987424398
201	0.7978312349
202	0.7938792177
203	0.792464166
204	0.7905746411
205	0.7890309913
206	0.7882191559
207	0.7864496413
208	0.7850520531
209	0.7842122828
210	0.7835868437
211	0.7798307219
212	0.7784767369
213	0.7744581742
214	0.7729472273
215	0.7724367576
216	0.7712536291
217	0.7706175468
218	0.7692897844
219	0.7670702819
220	0.7662399825
221	0.7650698638
222	0.7635947424
223	0.7623953496
224	0.7604541127
225	0.7587478912
226	0.7581416587
227	0.7571438815
228	0.7564997569
229	0.755641896
230	0.7539453168
231	0.7521010211
232	0.7495429205
233	0.7486133199
234	0.747874777
235	0.7450567303
236	0.7442820597
237	0.7432236345
238	0.7418870637
239	0.7410522062
240	0.7405002004
241	0.7389452445
242	0.7381383081
243	0.7371800309
244	0.7363726195
245	0.7355416832
246	0.7345547208
247	0.7341157721
248	0.7333799096
249	0.7324080887
250	0.7315152089
251	0.7307373136
252	0.7295263171
253	0.7281556023
254	0.7271555126
255	0.725732829
256	0.7235438215
257	0.7227047833
258	0.7214038898
259	0.7205975007
260	0.7188028334
261	0.7139215642
262	0.7125095269
263	0.7115082862
264	0.7109842008
265	0.7095571281
266	0.7079926742
267	0.7072608402
268	0.7059351558
269	0.7037127294
270	0.7019114275
271	0.7012202361
272	0.7006306677
273	0.6997956639
274	0.6984073728
275	0.6974384076
276	0.6963236533
277	0.6954727937
278	0.6941628129
279	0.6935245485
280	0.6925583027
281	0.6920980487
282	0.6908516943
283	0.6903788602
284	0.6892852482
285	0.6888937504
286	0.6881902804
287	0.6876758334
288	0.6866387128
289	0.6859755247
290	0.6853392029
291	0.6849902214
292	0.6846165322
293	0.6839192204
294	0.6829086498
295	0.6821372575
296	0.6811709987
297	0.6806276806
298	0.6799443383
299	0.6792068913
300	0.6774638483
301	0.6765245931
302	0.6760970006
303	0.6747926023
304	0.6740128554
305	0.6732020153
306	0.6725752022
307	0.6706683753
308	0.6698499674
309	0.6694421498
310	0.6685204828
311	0.6680165247
312	0.6669735232
313	0.6664935942
314	0.665766723
315	0.6642398006
316	0.6638953388
317	0.66328338
318	0.662377156
319	0.6617818628
320	0.6611349227
321	0.6606917587
322	0.6602353165
323	0.6598176868
324	0.6586935016
325	0.6578036162
326	0.6569109747
327	0.6563138266
328	0.6556379114
329	0.6552942379
330	0.6548640002
331	0.6533972511
332	0.6529350733
333	0.6513246803
334	0.6500678042
335	0.6494483777
336	0.6490352077
337	0.6485920756
338	0.6479650383
339	0.6475386942
340	0.647003006
341	0.6465169571
342	0.6455788903
343	0.6449111115
344	0.644360289
345	0.6435895237
346	0.6431822347
347	0.6417287515
348	0.6411654611
349	0.6406154265
350	0.6400315839
351	0.6397071802
352	0.6391977831
353	0.6382519294
354	0.6368790544
355	0.6365458998
356	0.6363034924
357	0.635848053
358	0.6349422276
359	0.6341722447
360	0.633287218
361	0.6324317541
362	0.6319308002
363	0.6314887403
364	0.6299061722
365	0.629577768
366	0.6290169929
367	0.6283576805
368	0.6277983064
369	0.6271924712
370	0.6267030792
371	0.6257477739
372	0.6245940953
373	0.6242676636
374	0.6239034511
375	0.6235846306
376	0.622344136
377	0.6218927694
378	0.6216074888
379	0.6212730848
380	0.6204567583
381	0.619930043
382	0.6195454158
383	0.618785774
384	0.6178181164
385	0.6170429166
386	0.6165841533
387	0.6161442111
388	0.6154922131
389	0.6148765241
390	0.6136937204
391	0.6131989026
392	0.6128841696
393	0.6100780695
394	0.6095042168
395	0.6085189445
396	0.6080182439
397	0.607469362
398	0.606878905
399	0.6064245287
400	0.6060688488
401	0.6056765228
402	0.6047605228
403	0.6042976363
404	0.6039443366
405	0.6035557044
406	0.6027733144
407	0.6024122834
408	0.6015697631
409	0.6010188779
410	0.6005627356
411	0.5997572958
412	0.5993621559
413	0.5990955183
414	0.5986087047
415	0.5980839415
416	0.5975600707
417	0.5960637457
418	0.5954578076
419	0.5951340824
420	0.5929750185
421	0.5927067091
422	0.5919131945
423	0.5914621578
424	0.5910224156
425	0.590559655
426	0.5894829089
