subtaskID,datapointID,answer
1,1621,2
1,177,2
1,393,2
1,1175,1
1,539,1
1,918,1
1,1036,2
1,1181,2
1,590,1
1,936,1
1,1571,1
1,279,2
1,1423,1
1,585,1
1,356,1
1,1247,1
1,1646,2
1,1489,1
1,1407,2
1,1060,2
1,317,1
1,1567,2
1,17,2
1,1581,2
1,1316,1
1,46,1
1,439,1
1,779,1
1,913,2
1,1145,2
1,1575,1
1,652,2
1,1090,2
1,312,2
1,287,2
1,1657,1
1,718,1
1,947,1
1,1702,2
1,951,2
1,1190,1
1,717,2
1,376,2
1,1102,1
1,508,1
1,820,2
1,791,1
1,1363,2
1,666,2
1,1203,2
1,1146,2
1,322,2
1,1685,2
1,1079,1
1,1620,1
1,1327,2
1,423,2
1,854,2
1,449,1
1,1442,2
1,1091,1
1,555,2
1,668,2
1,223,2
1,352,2
1,888,1
1,1152,1
1,372,2
1,856,2
1,178,2
1,836,1
1,35,1
1,1284,1
1,1589,2
1,1379,2
1,1131,1
1,386,1
1,731,2
1,1472,1
1,260,2
1,245,2
1,1553,2
1,456,1
1,732,2
1,1652,2
1,1078,2
1,567,1
1,1353,1
1,747,2
1,85,2
1,1024,2
1,1268,1
1,379,1
1,426,2
1,990,2
1,397,2
1,1600,1
1,274,1
1,96,2
1,1391,1
1,957,2
1,1065,1
1,705,1
1,176,2
1,1515,2
1,917,2
1,1184,2
1,1402,1
1,1561,2
1,1529,2
1,753,1
1,632,2
1,772,1
1,246,1
1,573,1
1,1202,2
1,34,1
1,394,1
1,640,1
1,365,1
1,583,1
1,807,1
1,65,1
1,1629,2
1,229,1
1,1612,1
1,187,2
1,1302,1
1,453,1
1,630,2
1,1495,1
1,1719,2
1,499,1
1,1419,2
1,1228,1
1,518,2
1,609,1
1,1160,2
1,142,1
1,1133,1
1,639,1
1,908,2
1,311,1
1,1375,2
1,417,2
1,72,1
1,224,1
1,9,2
1,461,2
1,1668,1
1,66,1
1,1706,2
1,586,1
1,702,1
1,1212,2
1,1549,2
1,1393,2
1,384,2
1,267,1
1,923,1
1,1165,1
1,1294,1
1,361,2
1,1597,2
1,1394,2
1,765,2
1,1530,2
1,294,1
1,1328,2
1,544,2
1,920,2
1,1014,2
1,963,2
1,1335,1
1,756,2
1,1396,1
1,228,2
1,513,2
1,790,1
1,121,1
1,104,2
1,1578,2
1,792,2
1,32,2
1,1155,2
1,1649,1
1,200,2
1,1118,1
1,1002,2
1,101,1
1,495,2
1,1354,1
1,1675,2
1,1532,1
1,44,1
1,169,1
1,1508,1
1,1027,1
1,950,1
1,251,1
1,199,1
1,1156,2
1,1464,1
1,872,1
1,1295,2
1,665,2
1,560,1
1,821,2
1,1689,1
1,1412,2
1,582,1
1,276,1
1,1288,2
1,989,1
1,1185,2
1,22,2
1,1556,2
1,932,2
1,1503,2
1,1368,1
1,462,2
1,1568,1
1,745,1
1,1559,1
1,1535,2
1,1214,2
1,618,1
1,633,2
1,875,1
1,615,2
1,213,1
1,257,1
1,151,2
1,1038,2
1,1329,1
1,1099,1
1,1349,2
1,1318,2
1,1058,1
1,914,1
1,811,1
1,1669,1
1,1388,2
1,780,1
1,159,2
1,40,2
1,1206,2
1,1371,2
1,1193,2
1,203,2
1,282,2
1,1108,1
1,42,2
1,1718,2
1,1172,1
1,321,2
1,129,2
1,1466,2
1,833,2
1,869,1
1,603,2
1,20,2
1,443,2
1,184,2
1,1179,2
1,814,1
1,1361,2
1,1566,1
1,1095,2
1,1205,2
1,1534,1
1,855,2
1,1215,1
1,622,1
1,739,2
1,1256,1
1,646,2
1,173,1
1,1093,2
1,995,2
1,1715,2
1,1680,2
1,41,1
1,286,2
1,1310,2
1,1420,2
1,341,1
1,249,2
1,661,2
1,1537,2
1,1312,2
1,1258,2
1,1453,1
1,153,1
1,302,1
1,775,1
1,1208,1
1,597,2
1,92,1
1,559,1
1,1585,1
1,763,2
1,1096,2
1,760,2
1,695,1
1,197,2
1,241,2
1,1469,1
1,1451,1
1,1686,2
1,1470,2
1,948,2
1,1611,2
1,366,1
1,133,2
1,787,1
1,316,2
1,1624,2
1,1603,2
1,424,1
1,1691,2
1,891,1
1,1216,2
1,1595,2
1,220,1
1,1187,2
1,378,2
1,1278,1
1,427,2
1,1655,2
1,1551,1
1,450,2
1,196,1
1,364,2
1,1350,1
1,768,1
1,715,2
1,1398,2
1,634,1
1,347,2
1,233,2
1,865,2
1,368,2
1,431,2
1,755,1
1,440,2
1,421,1
1,1465,2
1,1207,1
1,21,2
1,270,2
1,51,1
1,874,2
1,219,2
1,182,1
1,1606,2
1,1382,1
1,373,2
1,1245,1
1,86,2
1,1023,2
1,940,2
1,1047,2
1,1526,2
1,232,1
1,82,1
1,1017,2
1,1716,1
1,300,1
1,783,1
1,1572,1
1,1251,2
1,1232,1
1,890,1
1,828,1
1,183,2
1,489,1
1,1253,2
1,504,1
1,799,2
1,960,2
1,118,1
1,360,2
1,476,1
1,156,1
1,1538,1
1,290,1
1,4,2
1,189,2
1,1441,2
1,1307,1
1,1651,1
1,163,2
1,388,1
1,1144,2
1,387,1
1,591,2
1,1111,1
1,1660,2
1,899,2
1,1062,2
1,873,2
1,1499,2
1,475,1
1,912,2
1,942,1
1,934,1
1,1069,2
1,318,2
1,757,2
1,1012,1
1,1525,2
1,216,1
1,1154,2
1,592,2
1,852,1
1,167,1
1,800,1
1,1025,1
1,1322,1
1,62,1
1,1679,1
1,980,2
1,778,2
1,636,1
1,324,2
1,289,1
1,683,1
1,385,2
1,1461,1
1,614,2
1,967,1
1,1343,2
1,1336,1
1,402,1
1,1171,2
1,358,1
1,593,2
1,109,2
1,125,1
1,1677,2
1,766,1
1,1413,1
1,524,1
1,1076,2
1,1048,1
1,1088,1
1,711,2
1,1122,2
1,325,2
1,1610,1
1,1437,1
1,1474,2
1,482,2
1,252,1
1,144,2
1,119,2
1,1692,2
1,531,2
1,1648,2
1,1443,2
1,1522,1
1,1593,1
1,254,2
1,1509,2
1,411,2
1,350,1
1,445,2
1,253,2
1,1200,2
1,371,2
1,910,2
1,1240,2
1,564,1
1,346,2
1,507,2
1,928,2
1,89,2
1,1028,1
1,887,2
1,492,2
1,752,1
1,851,2
1,1100,2
1,1548,1
1,741,2
1,1477,1
1,1409,2
1,642,2
1,1591,1
1,407,2
1,709,2
1,297,2
1,1601,2
1,1173,1
1,1109,2
1,485,2
1,915,1
1,510,2
1,1558,1
1,637,1
1,1356,2
1,147,2
1,1599,2
1,171,2
1,1602,2
1,330,1
1,155,2
1,884,1
1,1057,1
1,698,2
1,1552,2
1,902,2
1,231,2
1,1098,1
1,1334,1
1,1705,1
1,237,2
1,1703,2
1,826,1
1,1008,2
1,27,2
1,825,2
1,30,2
1,275,2
1,1340,2
1,1300,2
1,1169,2
1,339,1
1,1229,1
1,645,1
1,849,2
1,1120,1
1,1583,1
1,90,2
1,545,1
1,437,1
1,1235,2
1,1045,2
1,594,2
1,943,2
1,795,1
1,1130,2
1,1411,1
1,16,2
1,293,1
1,1416,2
1,1150,2
1,1519,2
1,994,1
1,961,2
1,1199,1
1,831,2
1,1498,1
1,1438,1
1,1224,2
1,647,1
1,656,2
1,1297,2
1,937,2
1,882,2
1,1516,1
1,1128,1
1,1287,2
1,469,1
1,830,2
1,735,2
1,786,1
2,1621,2
2,177,3
2,393,4
2,1175,3
2,539,2
2,918,6
2,1036,5
2,1181,2
2,590,5
2,936,3
2,1571,5
2,279,3
2,1423,3
2,585,3
2,356,4
2,1247,3
2,1646,6
2,1489,6
2,1407,6
2,1060,3
2,317,6
2,1567,4
2,17,3
2,1581,2
2,1316,5
2,46,2
2,439,3
2,779,5
2,913,4
2,1145,6
2,1575,5
2,652,2
2,1090,2
2,312,6
2,287,6
2,1657,2
2,718,5
2,947,3
2,1702,6
2,951,2
2,1190,3
2,717,3
2,376,1
2,1102,6
2,508,5
2,820,3
2,791,3
2,1363,3
2,666,2
2,1203,5
2,1146,2
2,322,4
2,1685,2
2,1079,5
2,1620,3
2,1327,2
2,423,5
2,854,5
2,449,5
2,1442,2
2,1091,5
2,555,4
2,668,2
2,223,3
2,352,3
2,888,5
2,1152,2
2,372,2
2,856,3
2,178,3
2,836,1
2,35,3
2,1284,4
2,1589,3
2,1379,6
2,1131,3
2,386,5
2,731,2
2,1472,2
2,260,2
2,245,5
2,1553,2
2,456,6
2,732,2
2,1652,5
2,1078,3
2,567,3
2,1353,4
2,747,5
2,85,5
2,1024,3
2,1268,5
2,379,5
2,426,2
2,990,2
2,397,4
2,1600,2
2,274,2
2,96,5
2,1391,5
2,957,2
2,1065,4
2,705,3
2,176,3
2,1515,4
2,917,2
2,1184,5
2,1402,3
2,1561,2
2,1529,5
2,753,2
2,632,6
2,772,2
2,246,2
2,573,3
2,1202,6
2,34,2
2,394,5
2,640,2
2,365,5
2,583,3
2,807,3
2,65,3
2,1629,5
2,229,2
2,1612,2
2,187,2
2,1302,2
2,453,3
2,630,3
2,1495,2
2,1719,2
2,499,2
2,1419,4
2,1228,3
2,518,2
2,609,6
2,1160,2
2,142,3
2,1133,3
2,639,3
2,908,2
2,311,3
2,1375,2
2,417,6
2,72,5
2,224,3
2,9,6
2,461,4
2,1668,2
2,66,3
2,1706,3
2,586,2
2,702,5
2,1212,2
2,1549,6
2,1393,6
2,384,3
2,267,5
2,923,2
2,1165,2
2,1294,3
2,361,2
2,1597,1
2,1394,3
2,765,1
2,1530,6
2,294,5
2,1328,5
2,544,5
2,920,3
2,1014,6
2,963,3
2,1335,3
2,756,6
2,1396,2
2,228,2
2,513,4
2,790,3
2,121,5
2,104,2
2,1578,3
2,792,5
2,32,4
2,1155,6
2,1649,2
2,200,2
2,1118,6
2,1002,3
2,101,2
2,495,3
2,1354,1
2,1675,2
2,1532,2
2,44,3
2,169,2
2,1508,2
2,1027,3
2,950,5
2,251,2
2,199,5
2,1156,1
2,1464,3
2,872,3
2,1295,3
2,665,4
2,560,2
2,821,3
2,1689,3
2,1412,3
2,582,3
2,276,3
2,1288,5
2,989,5
2,1185,6
2,22,4
2,1556,2
2,932,2
2,1503,6
2,1368,5
2,462,3
2,1568,2
2,745,5
2,1559,5
2,1535,2
2,1214,2
2,618,2
2,633,6
2,875,2
2,615,4
2,213,2
2,257,3
2,151,3
2,1038,2
2,1329,5
2,1099,6
2,1349,2
2,1318,3
2,1058,5
2,914,3
2,811,5
2,1669,3
2,1388,2
2,780,2
2,159,5
2,40,2
2,1206,4
2,1371,2
2,1193,3
2,203,4
2,282,3
2,1108,5
2,42,6
2,1718,2
2,1172,3
2,321,3
2,129,4
2,1466,2
2,833,1
2,869,2
2,603,2
2,20,4
2,443,2
2,184,3
2,1179,2
2,814,5
2,1361,5
2,1566,6
2,1095,5
2,1205,5
2,1534,5
2,855,2
2,1215,6
2,622,3
2,739,2
2,1256,5
2,646,5
2,173,2
2,1093,6
2,995,4
2,1715,2
2,1680,2
2,41,2
2,286,5
2,1310,5
2,1420,6
2,341,3
2,249,6
2,661,3
2,1537,3
2,1312,2
2,1258,5
2,1453,2
2,153,3
2,302,2
2,775,3
2,1208,3
2,597,6
2,92,2
2,559,6
2,1585,1
2,763,5
2,1096,1
2,760,3
2,695,3
2,197,4
2,241,2
2,1469,3
2,1451,6
2,1686,6
2,1470,5
2,948,2
2,1611,3
2,366,5
2,133,5
2,787,5
2,316,5
2,1624,4
2,1603,2
2,424,3
2,1691,5
2,891,2
2,1216,3
2,1595,3
2,220,5
2,1187,3
2,378,4
2,1278,1
2,427,2
2,1655,2
2,1551,5
2,450,4
2,196,2
2,364,3
2,1350,3
2,768,3
2,715,6
2,1398,3
2,634,1
2,347,3
2,233,2
2,865,1
2,368,3
2,431,2
2,755,2
2,440,5
2,421,5
2,1465,4
2,1207,2
2,21,3
2,270,3
2,51,1
2,874,2
2,219,3
2,182,5
2,1606,2
2,1382,3
2,373,6
2,1245,2
2,86,3
2,1023,4
2,940,3
2,1047,5
2,1526,4
2,232,3
2,82,3
2,1017,6
2,1716,2
2,300,2
2,783,5
2,1572,5
2,1251,6
2,1232,3
2,890,1
2,828,5
2,183,3
2,489,2
2,1253,4
2,504,6
2,799,6
2,960,6
2,118,6
2,360,3
2,476,5
2,156,3
2,1538,5
2,290,3
2,4,6
2,189,3
2,1441,6
2,1307,3
2,1651,1
2,163,4
2,388,1
2,1144,3
2,387,1
2,591,4
2,1111,3
2,1660,3
2,899,1
2,1062,4
2,873,3
2,1499,3
2,475,2
2,912,4
2,942,2
2,934,3
2,1069,6
2,318,5
2,757,4
2,1012,2
2,1525,3
2,216,3
2,1154,2
2,592,3
2,852,2
2,167,5
2,800,2
2,1025,1
2,1322,2
2,62,3
2,1679,3
2,980,3
2,778,2
2,636,2
2,324,6
2,289,2
2,683,5
2,385,2
2,1461,2
2,614,6
2,967,2
2,1343,6
2,1336,5
2,402,5
2,1171,2
2,358,3
2,593,3
2,109,2
2,125,3
2,1677,3
2,766,3
2,1413,3
2,524,1
2,1076,5
2,1048,5
2,1088,5
2,711,2
2,1122,2
2,325,2
2,1610,2
2,1437,1
2,1474,2
2,482,3
2,252,3
2,144,6
2,119,4
2,1692,4
2,531,6
2,1648,2
2,1443,2
2,1522,5
2,1593,5
2,254,6
2,1509,2
2,411,5
2,350,6
2,445,3
2,253,3
2,1200,5
2,371,4
2,910,4
2,1240,3
2,564,3
2,346,4
2,507,4
2,928,3
2,89,5
2,1028,3
2,887,3
2,492,3
2,752,5
2,851,3
