iter	F1	Logloss
0	0.8761412575	0.5905063371
1	0.8753663162	0.5129671684
2	0.8759903548	0.4467816833
3	0.876183916	0.3993428182
4	0.876334826	0.3473063282
5	0.876334826	0.3115798925
6	0.8768727398	0.2822755463
7	0.8770237685	0.2621574704
8	0.8780991736	0.2424121545
9	0.877670572	0.2340742884
10	0.8785111149	0.2217841142
11	0.8791170892	0.212019801
12	0.880316859	0.2050503916
13	0.8845099383	0.2007693734
14	0.8853917208	0.195389091
15	0.8861191736	0.1909744823
16	0.8874081668	0.1880554654
17	0.8876002047	0.1841473743
18	0.8896092817	0.1812715852
19	0.8910891089	0.1791240197
20	0.8919610855	0.1770939498
21	0.8924180328	0.1751759238
22	0.894871358	0.1726844891
23	0.8938204165	0.1717141822
24	0.8957055215	0.1695033809
25	0.8954715696	0.1674062561
26	0.8966456666	0.1663802629
27	0.8963051251	0.1656717803
28	0.8967632027	0.1646863689
29	0.8966808511	0.1638091452
30	0.8966808511	0.162975491
31	0.8970212766	0.1616515329
32	0.897479564	0.1601509451
33	0.8983137455	0.1592910571
34	0.899216888	0.158623629
35	0.8990638298	0.1576966319
36	0.8993699983	0.1571473552
37	0.9006622517	0.1559889583
38	0.9014276003	0.1550895588
39	0.9019207887	0.1544408286
40	0.9031053793	0.1537129107
41	0.9027329825	0.1528641091
42	0.903171104	0.1518869479
43	0.904527726	0.1511260537
44	0.905238176	0.1505344493
45	0.9054237288	0.1498407777
46	0.9053595658	0.1489500528
47	0.9055131467	0.1485228134
48	0.9060379919	0.1475895784
49	0.9067164179	0.1470327792
50	0.9070556309	0.1462699295
51	0.9078590786	0.1456875758
52	0.907981698	0.1446707811
53	0.9086595492	0.143944306
54	0.9086595492	0.1431746031
55	0.9097069287	0.1426224357
56	0.9098915989	0.1422538942
57	0.9098915989	0.1417359416
58	0.9098915989	0.1412618991
59	0.9102607518	0.1405228766
60	0.9102607518	0.1400796529
61	0.9113067028	0.1392085151
62	0.9121027721	0.1383516455
63	0.9126246409	0.1378946277
64	0.9128083812	0.1371678011
65	0.9131463332	0.1365588681
66	0.9135802469	0.1360329897
67	0.9135802469	0.1356418166
68	0.9140439932	0.1350531893
69	0.9147208122	0.1342613012
70	0.9147208122	0.1339646592
71	0.915552547	0.1334399126
72	0.9160460393	0.1329515499
73	0.9158910137	0.1322689755
74	0.9157075152	0.1318552424
75	0.9157075152	0.1314852462
76	0.9163562479	0.1308772306
77	0.917188823	0.1301480397
78	0.9177108026	0.1298621766
79	0.9179218142	0.1290238572
80	0.9182602809	0.1286339565
81	0.9181049069	0.1283550115
82	0.9182602809	0.1279531971
83	0.9183880799	0.1276423425
84	0.9190653573	0.1269988857
85	0.9192209992	0.1266668348
86	0.9197426346	0.1264343635
87	0.9201083277	0.1260399813
88	0.9199526147	0.1255625156
89	0.9204737733	0.1252971889
90	0.9206295481	0.1247629002
91	0.9206564033	0.1243645789
92	0.9209947555	0.124110283
93	0.9209947555	0.1235586165
94	0.9218538566	0.1228393508
95	0.9218538566	0.1224122861
96	0.9220625528	0.1220207999
97	0.9220625528	0.1213064962
98	0.9220625528	0.1210092488
99	0.9224006762	0.1206565145
100	0.9229469415	0.1201623393
101	0.9232589588	0.1196188831
102	0.9239093676	0.1191087156
103	0.9244294167	0.1187531076
104	0.9244294167	0.1184840024
105	0.9240656181	0.1181941624
106	0.9242475482	0.1180237103
107	0.9244038559	0.1171793956
108	0.9244038559	0.1168823922
109	0.9248985115	0.1163461762
110	0.92471663	0.1158704569
111	0.9246911491	0.115650143
112	0.925681395	0.1152993422
113	0.925681395	0.1151156938
114	0.9257065493	0.1148774625
115	0.9257065493	0.1145857304
116	0.9257065493	0.1142609276
117	0.9258632363	0.1139883882
118	0.9260199763	0.1134884832
119	0.9269035533	0.1131363788
120	0.9269035533	0.1129023113
121	0.9272173324	0.1125395422
122	0.9269035533	0.1119032403
123	0.9270850956	0.111625019
124	0.9282571912	0.1111119727
125	0.9283900457	0.1107631571
126	0.92875275	0.1104475957
127	0.9289099526	0.1101625462
128	0.9293818798	0.1097706172
129	0.9301931549	0.1094536518
130	0.930532023	0.1090943971
131	0.9312563495	0.1085101566
132	0.9315486276	0.1080441532
133	0.9315486276	0.1078707209
134	0.9313675648	0.1076434547
135	0.9315486276	0.1074413441
136	0.931729629	0.1072211938
137	0.9322493225	0.1068599993
138	0.9325880759	0.1066746845
139	0.9324072506	0.1064501628
140	0.9329268293	0.106041662
141	0.9329268293	0.1056291697
142	0.933446232	0.1053859339
143	0.9343263372	0.1050175642
144	0.9343263372	0.1046872451
145	0.9344845099	0.1044614524
146	0.9346427362	0.1041640698
147	0.9345066847	0.1037856063
148	0.9348671968	0.1035146777
149	0.9357456882	0.1030845882
150	0.9359256128	0.10293192
151	0.9365589579	0.1024754183
152	0.9374154263	0.1021307522
153	0.9380920162	0.1014987866
154	0.9379333672	0.1012188998
155	0.9381129523	0.1010238515
156	0.9381129523	0.1007323274
157	0.9380920162	0.1004397707
158	0.9382716049	0.1001336439
159	0.9386306002	0.09980725713
160	0.9386306002	0.09961272586
161	0.9389893527	0.09942245262
162	0.939148073	0.09895461776
163	0.939148073	0.09883930029
164	0.9398445421	0.09852502921
165	0.9398445421	0.09826775952
166	0.9398445421	0.09806962295
167	0.939665371	0.09783796112
168	0.939665371	0.09731196504
169	0.9401217862	0.09677400104
170	0.9406191846	0.09647886224
171	0.9411366712	0.09616972438
172	0.9416737109	0.09569525468
173	0.9420314348	0.09542781591
174	0.9418526031	0.09520350466
175	0.9418526031	0.09500520269
176	0.9420118343	0.09482286146
177	0.942388917	0.09433280215
178	0.9425481582	0.09404745984
179	0.9425481582	0.09379279358
180	0.9423499577	0.09334082758
181	0.9425093	0.09319538905
182	0.9423304583	0.09296144504
183	0.9423499577	0.09268900522
184	0.9426880811	0.0925033507
185	0.9426880811	0.09232478923
186	0.9435620142	0.09202692868
187	0.9439189189	0.09190780326
188	0.9440972809	0.09175657534
189	0.9444162865	0.09160068196
190	0.9444350616	0.09138696598
191	0.9446320054	0.09111992489
192	0.9449696151	0.09071805978
193	0.9451476793	0.09055114065
194	0.9451476793	0.09033733815
195	0.9451476793	0.0901687761
196	0.9453256834	0.08983068133
197	0.9456631792	0.08967462386
198	0.9460188934	0.08945718805
199	0.9468533828	0.08903108257
200	0.9472086355	0.08892796272
201	0.9473684211	0.08861290665
202	0.9475282605	0.08850360059
203	0.9473684211	0.08822968191
204	0.9473684211	0.08803279942
205	0.9473684211	0.08783785088
206	0.9472086355	0.08761533522
207	0.9477410654	0.08742113295
208	0.9480782198	0.087269223
209	0.9484327604	0.08694574517
210	0.9484153742	0.08672482557
211	0.9485926176	0.0865889761
212	0.9487525287	0.0864397789
213	0.9496039103	0.0860733287
214	0.9492497049	0.08585076292
215	0.9494097808	0.08573348965
216	0.9494268375	0.08544971629
217	0.9494268375	0.08531029191
218	0.9497639919	0.08516175355
219	0.9504383007	0.08490426558
220	0.9507920458	0.08456400485
221	0.951305813	0.08438196079
222	0.951305813	0.08419181341
223	0.9514824798	0.08406094537
224	0.9514824798	0.08389533947
225	0.9514824798	0.08369407878
226	0.9518356349	0.08344314608
227	0.9519959576	0.08321735464
228	0.9526377886	0.08286249382
229	0.9529748862	0.082636409
230	0.9533277169	0.08249729602
231	0.9533277169	0.08233814199
232	0.9535040431	0.0821337907
233	0.9535040431	0.08198152412
234	0.9540171804	0.08177652291
235	0.9538409704	0.08150498127
236	0.9540171804	0.08137466357
237	0.9545454545	0.08110005904
238	0.9547061795	0.08094405335
239	0.9550429365	0.08068767838
240	0.9550429365	0.08060053119
241	0.9550429365	0.08039778277
242	0.9552037723	0.08025629675
243	0.9552037723	0.08010382439
244	0.9557313584	0.07994628513
245	0.9558922559	0.07980678479
246	0.956243689	0.0796678923
247	0.956243689	0.07953129251
248	0.956580276	0.07935395293
249	0.956916863	0.07919068551
250	0.956916863	0.07898248594
251	0.9567412893	0.07879233948
252	0.956916863	0.07865018548
253	0.9567558472	0.07836452858
254	0.9569313594	0.07820081396
255	0.9572822065	0.07809665068
256	0.9572822065	0.07798013619
257	0.9572822065	0.07784311438
258	0.9572822065	0.07770331095
259	0.9577796468	0.07753770244
260	0.9581019687	0.07737989874
261	0.9582772544	0.07727412249
262	0.9582772544	0.07714666838
263	0.9584524811	0.07689953155
264	0.9582772544	0.07673518684
265	0.9581160639	0.07656589205
266	0.9582912883	0.07636624575
267	0.9587888982	0.07620384645
268	0.9586276488	0.07597819295
269	0.9587888982	0.07582166506
270	0.9589502019	0.07566480074
271	0.9591253154	0.07552252591
272	0.9591253154	0.0753194143
273	0.9591390617	0.07497368243
274	0.9591390617	0.07484885783
275	0.9596503026	0.07475209623
276	0.9599730912	0.07458001622
277	0.9599730912	0.07448685941
278	0.9606325707	0.07429406403
279	0.9609821729	0.0740831787
280	0.9611568858	0.07397158227
281	0.9613185335	0.07378981168
282	0.9613185335	0.07365948099
283	0.9613185335	0.07356801681
284	0.9613185335	0.07345774371
285	0.9614802355	0.07325251219
286	0.9614802355	0.07315029519
287	0.9614802355	0.07304110589
288	0.9618166526	0.0728483695
289	0.9619784657	0.07268015216
290	0.9618038028	0.07257327155
291	0.9619784657	0.07234813681
292	0.9621403332	0.07227143206
293	0.9619784657	0.07206580125
294	0.9623276152	0.07198520624
295	0.9624768635	0.0718753413
296	0.9629878869	0.07170670587
297	0.9624768635	0.07155351342
298	0.9634987384	0.07141369098
299	0.963511014	0.07125925478
300	0.963697479	0.07102383242
301	0.9637096774	0.07091723084
302	0.9643936849	0.07069845451
303	0.9640577763	0.07054852517
304	0.9643936849	0.07027840333
305	0.9643936849	0.07015915988
306	0.9648916513	0.0699854164
307	0.9649034425	0.06990184838
308	0.9655867047	0.06962083096
309	0.9655751469	0.06945426381
310	0.9654130289	0.06933078016
311	0.9655635814	0.06906387002
312	0.9655635814	0.06898932371
313	0.9655635814	0.06888949268
314	0.9657373194	0.06876639608
315	0.9657373194	0.0686681472
316	0.9658995464	0.06859818256
317	0.9662355115	0.06848484539
318	0.966560242	0.06830456223
319	0.966560242	0.06815264214
320	0.9667226891	0.06807623165
321	0.9668851908	0.06799117709
322	0.9670477471	0.06789451044
323	0.9668851908	0.06779738182
324	0.9672213817	0.06760915165
325	0.9673839946	0.06745635316
326	0.9673839946	0.06735752274
327	0.9675466622	0.06721879513
328	0.9675466622	0.06706697183
329	0.9673730239	0.06693829451
330	0.9675357443	0.06685236394
331	0.9673730239	0.06658818306
332	0.9673730239	0.06649691737
333	0.9673730239	0.06627616025
334	0.9673730239	0.06614911806
335	0.9673730239	0.06605045885
336	0.9673730239	0.06594458428
337	0.9673730239	0.06581490247
338	0.9677202421	0.06562749816
339	0.9677202421	0.06552976434
340	0.9678937637	0.06542251922
341	0.9680564896	0.06530847582
342	0.9684033613	0.06518425701
343	0.9685767098	0.06504552081
344	0.9687394958	0.06491201294
345	0.9685767098	0.06478812209
