iter	Passed	Remaining
0	253	126330
1	458	114169
2	637	105681
3	825	102345
4	1020	101009
5	1202	99036
6	1389	97891
7	1569	96527
8	1743	95122
9	1912	93722
10	2081	92531
11	2256	91776
12	2432	91120
13	2613	90718
14	2905	93935
15	3090	93492
16	3257	92559
17	3428	91803
18	3597	91080
19	3762	90301
20	3923	89499
21	4091	88890
22	4251	88177
23	4415	87572
24	4577	86964
25	4747	86546
26	4913	86073
27	5078	85616
28	5270	85602
29	5481	85870
30	5679	85923
31	5911	86461
32	6108	86450
33	6389	87577
34	6666	88563
35	6838	88139
36	7011	87744
37	7173	87217
38	7335	86708
39	7523	86515
40	7687	86067
41	7925	86427
42	8137	86489
43	8301	86029
44	8461	85559
45	8636	85243
46	8810	84915
47	8971	84477
48	9132	84056
49	9295	83658
50	9458	83272
51	9616	82851
52	9828	82890
53	10046	82977
54	10215	82656
55	10377	82277
56	10536	81885
57	10701	81550
58	10861	81185
59	11020	80816
60	11180	80460
61	11352	80199
62	11664	80909
63	11836	80639
64	12048	80629
65	12297	80867
66	12472	80608
67	12648	80356
68	12821	80089
69	12989	79790
70	13151	79464
71	13314	79147
72	13483	78871
73	13649	78576
74	13809	78254
75	13967	77925
76	14155	77765
77	14338	77573
78	14498	77266
79	14682	77082
80	14854	76840
81	15045	76696
82	15230	76519
83	15403	76284
84	15582	76077
85	15764	75889
86	15962	75775
87	16149	75610
88	16320	75367
89	16482	75088
90	16646	74819
91	16813	74562
92	16977	74297
93	17138	74024
94	17306	73780
95	17499	73645
96	17661	73376
97	17846	73207
98	18029	73026
99	18192	72771
100	18373	72583
101	18557	72411
102	18837	72606
103	19017	72412
104	19204	72246
105	19399	72106
106	19677	72272
107	19914	72282
108	20138	72239
109	20329	72076
110	20505	71862
111	20685	71660
112	20860	71443
113	21040	71242
114	21219	71038
115	21392	70817
116	21568	70605
117	21749	70411
118	21996	70425
119	22172	70214
120	22365	70053
121	22549	69865
122	22737	69691
123	22918	69493
124	23104	69312
125	23280	69101
126	23455	68889
127	23631	68680
128	23811	68480
129	23986	68270
130	24238	68273
131	24418	68075
132	24609	67907
133	24790	67712
134	24970	67513
135	25175	67381
136	25374	67232
137	25561	67051
138	25744	66862
139	25922	66656
140	26112	66483
141	26293	66289
142	26469	66082
143	26655	65898
144	26837	65706
145	27024	65525
146	27248	65432
147	27448	65283
148	27629	65087
149	27818	64909
150	27999	64713
151	28184	64526
152	28356	64311
153	28542	64128
154	28726	63939
155	28902	63734
156	29084	63541
157	29262	63339
158	29451	63163
159	29629	62963
160	29819	62786
161	29999	62592
162	30181	62399
163	30429	62344
164	30607	62142
165	30786	61943
166	30946	61708
167	31117	61494
168	31285	61274
169	31452	61055
170	31614	60825
171	31783	60610
172	31945	60382
173	32109	60160
174	32273	59936
175	32431	59703
176	32588	59469
177	32765	59272
178	32926	59046
179	33094	58834
180	33265	58628
181	33441	58429
182	33608	58218
183	33776	58007
184	33939	57789
185	34110	57583
186	34271	57363
187	34430	57140
188	34591	56921
189	34751	56700
190	34912	56481
191	35074	56265
192	35239	56055
193	35398	55834
194	35569	55634
195	35807	55538
196	35980	55340
197	36179	55182
198	36351	54983
199	36536	54805
200	36709	54608
201	36885	54415
202	37105	54286
203	37286	54102
204	37445	53885
205	37657	53744
206	37866	53598
207	38053	53421
208	38247	53253
209	38447	53094
210	38668	52962
211	38864	52797
212	39039	52602
213	39245	52449
214	39408	52238
215	39569	52026
216	39748	51837
217	39905	51620
218	40184	51560
219	40398	51416
220	40617	51277
221	40812	51106
222	41011	50942
223	41285	50869
224	41498	50720
225	41676	50528
226	41861	50344
227	42034	50146
228	42207	49949
229	42392	49765
230	42572	49575
231	42734	49365
232	42901	49161
233	43070	48960
234	43242	48762
235	43420	48571
236	43595	48377
237	43791	48207
238	43975	48023
239	44190	47873
240	44382	47697
241	44551	47496
242	44724	47301
243	44904	47112
244	45094	46934
245	45313	46787
246	45504	46610
247	45678	46415
248	45872	46241
249	46108	46108
250	46274	45905
251	46435	45698
252	46599	45493
253	46778	45305
254	46947	45106
255	47107	44899
256	47262	44687
257	47426	44485
258	47589	44281
259	47752	44079
260	47912	43873
261	48082	43677
262	48241	43472
263	48419	43284
264	48591	43090
265	48752	42887
266	48923	42693
267	49085	42491
268	49247	42290
269	49407	42087
270	49586	41901
271	49748	41701
272	49910	41500
273	50075	41302
274	50234	41101
275	50400	40904
276	50560	40703
277	50726	40508
278	50883	40305
279	51045	40106
280	51205	39907
281	51376	39716
282	51536	39517
283	51701	39322
284	51858	39120
285	52019	38923
286	52181	38727
287	52340	38528
288	52497	38328
289	52658	38131
290	52829	37942
291	52993	37749
292	53150	37550
293	53316	37357
294	53476	37161
295	53638	36966
296	53804	36775
297	53973	36585
298	54134	36391
299	54295	36197
300	54459	36004
301	54624	35813
302	54781	35617
303	54945	35425
304	55108	35233
305	55267	35038
306	55430	34847
307	55600	34659
308	55765	34470
309	55920	34273
310	56078	34080
311	56258	33899
312	56430	33714
313	56596	33525
314	56759	33335
315	56919	33142
316	57080	32951
317	57240	32760
318	57403	32570
319	57567	32381
320	57739	32197
321	57896	32004
322	58065	31819
323	58233	31632
324	58393	31442
325	58552	31252
326	58716	31063
327	58874	30872
328	59034	30683
329	59205	30499
330	59378	30316
331	59546	30131
332	59707	29943
333	59870	29756
334	60034	29569
335	60192	29379
336	60359	29194
337	60527	29010
338	60701	28828
339	60861	28640
340	61022	28453
341	61184	28266
342	61343	28078
343	61512	27895
344	61677	27710
345	61833	27521
346	61996	27335
347	62158	27149
348	62324	26965
349	62488	26780
350	62662	26600
351	62821	26413
352	62991	26231
353	63148	26044
354	63308	25858
355	63473	25674
356	63642	25492
357	63803	25307
358	63971	25125
359	64133	24940
360	64290	24754
361	64462	24574
362	64647	24398
363	64805	24213
364	64967	24028
365	65124	23843
366	65284	23659
367	65455	23478
368	65624	23297
369	65790	23115
370	65950	22931
371	66111	22747
372	66276	22565
373	66437	22382
374	66607	22202
375	66781	22023
376	66937	21838
377	67094	21654
378	67255	21471
379	67418	21290
380	67580	21107
381	67749	20927
382	67918	20747
383	68075	20564
384	68232	20381
385	68392	20198
386	68561	20019
387	68728	19839
388	68887	19656
389	69054	19476
390	69214	19295
391	69384	19116
392	69548	18935
393	69709	18754
394	69869	18572
395	70033	18392
396	70199	18213
397	70369	18034
398	70532	17854
399	70706	17676
400	70865	17495
401	71052	17321
402	71213	17140
403	71390	16964
404	71553	16784
405	71768	16616
406	71961	16443
407	72126	16263
408	72285	16083
409	72451	15904
410	72621	15725
411	72782	15545
412	72949	15367
413	73158	15197
414	73348	15023
415	73547	14850
416	73759	14681
417	74020	14520
418	74206	14345
419	74379	14167
420	74564	13991
421	74727	13812
422	74890	13632
423	75060	13454
424	75221	13274
425	75379	13094
426	75542	12914
427	75711	12736
428	75874	12557
429	76037	12378
430	76196	12198
431	76353	12018
432	76525	11841
433	76698	11663
434	76862	11485
435	77041	11308
436	77204	11130
437	77382	10953
438	77541	10774
439	77716	10597
440	77872	10418
441	78043	10240
442	78203	10062
443	78366	9884
444	78531	9706
445	78697	9528
446	78862	9350
447	79025	9172
448	79190	8994
449	79352	8816
450	79515	8639
451	79692	8462
452	79862	8285
453	80022	8108
454	80190	7930
455	80380	7756
456	80570	7581
457	80758	7405
458	80933	7229
459	81099	7052
460	81264	6874
461	81437	6698
462	81613	6522
463	81785	6345
464	81959	6169
465	82133	5992
466	82301	5815
467	82465	5638
468	82638	5462
469	82817	5286
470	82986	5109
471	83156	4933
472	83331	4756
473	83519	4581
474	83700	4405
475	83861	4228
476	84031	4051
477	84198	3875
478	84369	3698
479	84547	3522
480	84725	3346
481	84907	3170
482	85089	2994
483	85258	2818
484	85433	2642
485	85619	2466
486	85824	2290
487	86007	2114
488	86171	1938
489	86338	1762
490	86519	1585
491	86696	1409
492	86854	1233
493	87026	1057
494	87207	880
495	87372	704
496	87551	528
497	87741	352
498	87907	176
499	88073	0
